data1,data2
0x00,0x002DB8
0xFF,0x002DAE
0x00,0x002D8A
0x00,0x002DEB
0xFF,0x002D92
0xFF,0x002DD3
0xFF,0x002D9C
0x00,0x002DC0
0xFF,0x002DE3
0xFF,0x002D74
0xFF,0x002DAC
0xFF,0x002D88
0xFF,0x002D7C
0xFF,0x002DCE
0xFF,0x002D50
0x00,0x002DBA
0x00,0x002DB2
0xFF,0x002DA4
0xFF,0x002D78
0x00,0x002D9A
0x00,0x002D60
0x00,0x002DE9
0x00,0x002D62
0x00,0x002DD9
0x00,0x002D52
0x00,0x002DD3
0x00,0x002D6E
0x00,0x002DB2
0x00,0x002D8A
0x00,0x002DC2
0xFF,0x002D96
0xFF,0x002DA2
0xFF,0x002DC0
0xFF,0x002E2D
0xFF,0x002D6E
0xFF,0x002E21
0xFF,0x002DD0
0xFF,0x002DA0
0xFF,0x002DED
0xFF,0x002D92
0xFF,0x002DC8
0xFF,0x002DCC
0xFF,0x002DC4
0xFF,0x002DED
0x00,0x002DD2
0x00,0x002D62
0x00,0x002DF9
0x00,0x002DD7
0x00,0x002DF1
0x00,0x002E1D
0x00,0x002DDB
0x00,0x002E3F
0x00,0x002D74
0x00,0x002E1F
0x00,0x002D98
0xFF,0x002E01
0xFF,0x002DB2
0xFF,0x002E4F
0xFF,0x002DAE
0xFF,0x002E47
0xFF,0x002DA0
0xFE,0x002E19
0xFE,0x002DDD
0xFE,0x002DBA
0xFE,0x002DD2
0xFE,0x002E0B
0xFE,0x002E09
0xFE,0x002E1D
0xFF,0x002E07
0xFF,0x002DEF
0xFF,0x002E35
0x00,0x002DC2
0x00,0x002DFF
0x01,0x002D80
0x02,0x002E1F
0x02,0x002D88
0x03,0x002E6D
0x03,0x002DC4
0x04,0x002E87
0x04,0x002DD9
0x04,0x002E15
0x05,0x002DC6
0x05,0x002DF9
0x05,0x002DD9
0x05,0x002DD3
0x05,0x002E07
0x04,0x002DE3
0x04,0x002DE3
0x04,0x002DD9
0x03,0x002D96
0x03,0x002DEF
0x02,0x002D82
0x02,0x002E25
0x01,0x002DFB
0x01,0x002DBC
0x01,0x002DD2
0x00,0x002E19
0x00,0x002D2A
0x00,0x002E27
0xFF,0x002DB4
0xFF,0x002E03
0xFF,0x002DB8
0xFF,0x002DD2
0xFF,0x002DBC
0xFF,0x002DDB
0xFF,0x002DBA
0xFF,0x002D86
0xFF,0x002DF5
0xFF,0x002D78
0xFF,0x002E77
0xFF,0x002D42
0xFF,0x002E65
0xFF,0x002D5C
0xFE,0x002E65
0xFE,0x002D5E
0xFE,0x002DF3
0xFE,0x002D90
0xFD,0x002DEF
0xFD,0x002D94
0xFD,0x002DCE
0xFD,0x002D6C
0xFC,0x002E17
0xFC,0x002DAA
0xFC,0x002DEB
0xFC,0x002D16
0xFC,0x002DD0
0xFC,0x002DB0
0xFC,0x002D9C
0xFC,0x002E4D
0xFC,0x002DA8
0xFD,0x002E6B
0xFD,0x002DCA
0xFE,0x002EC7
0xFE,0x002E47
0xFE,0x002E93
0xFF,0x002E93
0xFF,0x002E51
0x00,0x002E79
0x00,0x002E8B
0x00,0x002E4D
0x00,0x002EA3
0x00,0x002E5D
0x00,0x002EA9
0x00,0x002E49
0x00,0x002E55
0x00,0x002E5D
0xFF,0x002E69
0xFF,0x002EA3
0xFE,0x002E6F
0xFE,0x002E7F
0xFE,0x002E9B
0xFD,0x002E9D
0xFD,0x002E87
0xFD,0x002EAF
0xFD,0x002E3D
0xFE,0x002E7D
0xFE,0x002E45
0xFF,0x002E97
0xFF,0x002E3F
0x00,0x002EE0
0x01,0x002E59
0x01,0x002EB1
0x02,0x002E97
0x03,0x002E3D
0x03,0x002E11
0x04,0x002DFD
0x04,0x002EB3
0x04,0x002DC8
0x04,0x002E97
0x04,0x002E1B
0x03,0x002E91
0x02,0x002E29
0x01,0x002E25
0x00,0x002E2F
0xFF,0x002E33
0xFE,0x002E6F
0xFC,0x002E07
0xFB,0x002E9D
0xFA,0x002E1F
0xF9,0x002E77
0xF8,0x002E57
0xF7,0x002E6B
0xF7,0x002E47
0xF7,0x002E43
0xF7,0x002E65
0xF8,0x002E0F
0xF8,0x002EC9
0xF9,0x002E15
0xFB,0x002EB5
0xFC,0x002E23
0xFD,0x002E6F
0xFE,0x002E7D
0x00,0x002E3B
0x01,0x002E5F
0x02,0x002E9F
0x03,0x002E6F
0x03,0x002E3D
0x03,0x002E3D
0x03,0x002E91
0x03,0x002E87
0x03,0x002E6D
0x02,0x002E39
0x02,0x002E21
0x01,0x002E79
0x00,0x002EDE
0xFF,0x002E09
0xFF,0x002E9B
0xFE,0x002E3D
0xFD,0x002EAB
0xFD,0x002DF1
0xFD,0x002E3F
0xFD,0x002E35
0xFE,0x002E27
0xFE,0x002E4B
0xFF,0x002E5B
0x00,0x002E27
0x00,0x002E65
0x01,0x002EA7
0x02,0x002E6D
0x03,0x002E79
0x04,0x002E31
0x05,0x002ED8
0x06,0x002E09
0x06,0x002EAF
0x06,0x002E51
0x06,0x002EDA
0x06,0x002DD9
0x06,0x002E43
0x05,0x002DDB
0x05,0x002E5F
0x04,0x002DDD
0x03,0x002D9E
0x02,0x002DCC
0x01,0x002DBA
0x00,0x002DCE
0xFF,0x002D98
0xFE,0x002DC2
0xFD,0x002E05
0xFD,0x002E01
0xFC,0x002EC5
0xFB,0x002ECD
0xFB,0x002F74
0xFB,0x002FD1
0xFB,0x003029
0xFB,0x0030D0
0xFB,0x00310E
0xFC,0x0031B8
0xFC,0x0031FD
0xFC,0x003227
0xFD,0x003257
0xFE,0x003237
0xFE,0x00325F
0xFF,0x0031DF
0xFF,0x00317C
0xFF,0x00306F
0x00,0x002FED
0x00,0x002E9B
0x00,0x002DBC
0xFF,0x002B74
0xFF,0x002A25
0xFF,0x0027FB
0xFE,0x002603
0xFE,0x0023D0
0xFD,0x002231
0xFD,0x001F2E
0xFC,0x001DB2
0xFC,0x001ADD
0xFB,0x0018C5
0xFB,0x001704
0xFB,0x0014A9
0xFB,0x001346
0xFB,0x0010EB
0xFB,0x000FCA
0xFB,0x000E2F
0xFC,0x000D2E
0xFD,0x000C35
0xFD,0x000B7E
0xFE,0x000AC7
0xFF,0x000A7F
0xFF,0x000A5D
0x00,0x000B12
0x01,0x000AC7
0x01,0x000C17
0x02,0x000C21
0x02,0x000D30
0x02,0x000E29
0x02,0x000FB2
0x02,0x00111A
0x02,0x0012BB
0x02,0x0014BF
0x02,0x0016E5
0x02,0x00194A
0x02,0x001BF1
0x02,0x001EEE
0x02,0x00220B
0x03,0x00256E
0x03,0x00290A
0x03,0x002CE6
0x03,0x003104
0x04,0x003520
0x04,0x003970
0x04,0x003E11
0x04,0x00426F
0x04,0x004724
0x04,0x004BB4
0x03,0x005009
0x03,0x0054CA
0x02,0x0058FE
0x01,0x005D1C
0x01,0x0060F8
0x00,0x0064B8
0xFE,0x006803
0xFD,0x006B66
0xFC,0x006DE3
0xFB,0x00705B
0xFA,0x00723F
0xF9,0x0073FD
0xF9,0x00753C
0xF8,0x007663
0xF8,0x007657
0xF8,0x007720
0xF8,0x00770C
0xF9,0x00775E
0xF9,0x00768C
0xFA,0x007641
0xFB,0x0075B3
0xFC,0x007489
0xFD,0x0073F5
0xFE,0x0072D0
0xFF,0x0071A1
0x00,0x007005
0x01,0x006EAE
0x02,0x006CEC
0x02,0x006B66
0x03,0x006950
0x03,0x006732
0x03,0x0064EA
0x03,0x0061A5
0x03,0x005F2A
0x03,0x005B64
0x02,0x005817
0x02,0x0053B5
0x02,0x004F50
