data1,data2
0x00,0x0034D4
0xFF,0x00349D
0x00,0x0034E4
0x00,0x0034D2
0xFF,0x0034F2
0xFF,0x0034A7
0xFF,0x0034D8
0x00,0x0034AD
0xFF,0x0034D8
0xFF,0x00349D
0xFF,0x0034E8
0xFF,0x0034A5
0xFF,0x003500
0xFF,0x0034EA
0xFF,0x003526
0x00,0x003532
0x00,0x003560
0xFF,0x00359A
0xFF,0x00359A
0x00,0x0035BE
0x00,0x0035C2
0x00,0x0035E3
0x00,0x0035D3
0x00,0x0035F5
0x00,0x0035D3
0x00,0x0035C4
0x00,0x0035CD
0x00,0x0035D7
0x00,0x0035ED
0x00,0x0035E9
0xFF,0x0035C2
0xFF,0x003613
0xFF,0x003625
0xFF,0x0035D3
0xFF,0x003643
0xFF,0x003641
0xFF,0x00362F
0xFF,0x003657
0xFF,0x0035FF
0xFF,0x003631
0xFF,0x00364B
0xFF,0x003631
0xFF,0x003677
0xFF,0x00366B
0x00,0x0036A3
0x00,0x003675
0x00,0x0036A5
0x00,0x0036C7
0x00,0x0036E0
0x00,0x003655
0x00,0x0036C7
0x00,0x0036A5
0x00,0x0036C7
0x00,0x0036EE
0x00,0x00374C
0xFF,0x003710
0xFF,0x00375A
0xFF,0x003732
0xFF,0x003744
0xFF,0x00374E
0xFF,0x003742
0xFE,0x0037AA
0xFE,0x003798
0xFE,0x003744
0xFE,0x00379E
0xFE,0x0037C6
0xFE,0x0037DD
0xFE,0x0037DB
0xFF,0x00380F
0xFF,0x0037FB
0xFF,0x0038A1
0x00,0x003865
0x00,0x003889
0x01,0x0038C5
0x02,0x0038B3
0x02,0x0038D8
0x03,0x0038D4
0x03,0x0038EA
0x04,0x003942
0x04,0x00390E
0x04,0x00393C
0x05,0x003970
0x05,0x003962
0x05,0x003986
0x05,0x0039AE
0x05,0x0039B4
0x04,0x0039E1
0x04,0x0039EB
0x04,0x0039CF
0x03,0x003A17
0x03,0x0039FB
0x02,0x003A4B
0x02,0x003A13
0x01,0x003A29
0x01,0x003A63
0x01,0x003A77
0x00,0x003A4F
0x00,0x003A6D
0x00,0x003A93
0xFF,0x003ADC
0xFF,0x003ABF
0xFF,0x003AF8
0xFF,0x003B00
0xFF,0x003B58
0xFF,0x003B0C
0xFF,0x003B72
0xFF,0x003B44
0xFF,0x003B7C
0xFF,0x003BA2
0xFF,0x003BA0
0xFF,0x003BF3
0xFF,0x003BCF
0xFF,0x003BCF
0xFE,0x003BB6
0xFE,0x003BF3
0xFE,0x003C13
0xFE,0x003C49
0xFD,0x003C41
0xFD,0x003C33
0xFD,0x003C29
0xFD,0x003C23
0xFC,0x003C8D
0xFC,0x003C7F
0xFC,0x003C23
0xFC,0x003C4B
0xFC,0x003C1F
0xFC,0x003BE5
0xFC,0x003C5F
0xFC,0x003C57
0xFC,0x003C3B
0xFD,0x003CB1
0xFD,0x003C9D
0xFE,0x003D38
0xFE,0x003D4E
0xFE,0x003D7E
0xFF,0x003DB6
0xFF,0x003DD5
0x00,0x003E03
0x00,0x003E2D
0x00,0x003E0B
0x00,0x003E17
0x00,0x003E7D
0x00,0x003E19
0x00,0x003E1D
0x00,0x003DAC
0x00,0x003D68
0xFF,0x003D10
0xFF,0x003C3B
0xFE,0x003C11
0xFE,0x003BE7
0xFE,0x003BA4
0xFD,0x003BFB
0xFD,0x003BD5
0xFD,0x003C9F
0xFD,0x003D32
0xFE,0x003E23
0xFE,0x003F94
0xFF,0x00410A
0xFF,0x0042EC
0x00,0x0044E6
0x01,0x004716
0x01,0x0048D6
0x02,0x004B2E
0x03,0x004C85
0x03,0x004E31
0x04,0x004F1E
0x04,0x004F6A
0x04,0x004F48
0x04,0x004DF3
0x04,0x004C0F
0x03,0x004962
0x02,0x00455E
0x01,0x0040F8
0x00,0x003BA8
0xFF,0x003510
0xFE,0x002E0F
0xFC,0x002613
0xFB,0x001DF7
0xFA,0x0015A2
0xF9,0x000CC1
0xF8,0x0003FF
0xF7,0xFFFB3A
0xF7,0xFFF29F
0xF7,0xFFEAA9
0xF7,0xFFE2AF
0xF8,0xFFDBB2
0xF8,0xFFD578
0xF9,0xFFCF8A
0xFB,0xFFCA79
0xFC,0xFFC64F
0xFD,0xFFC2BF
0xFE,0xFFC038
0x00,0xFFBDEE
0x01,0xFFBCA3
0x02,0xFFBAFB
0x03,0xFFBA81
0x03,0xFFBA0C
0x03,0xFFB9E0
0x03,0xFFB9DA
0x03,0xFFBA34
0x03,0xFFBA8B
0x02,0xFFBB03
0x02,0xFFBBD8
0x01,0xFFBD31
0x00,0xFFBE93
0xFF,0xFFC073
0xFF,0xFFC2A3
0xFE,0xFFC56A
0xFD,0xFFC8CB
0xFD,0xFFCC7D
0xFD,0xFFD19A
0xFD,0xFFD6F1
0xFE,0xFFDCED
0xFE,0xFFE41D
0xFF,0xFFEC19
0x00,0xFFF48B
0x00,0xFFFD8C
0x01,0x00077A
0x02,0x0011D2
0x03,0x001C83
0x04,0x0027B8
0x05,0x0032FA
0x06,0x003E0D
0x06,0x00494A
0x06,0x0053E5
0x06,0x005E13
0x06,0x006817
0x06,0x007188
0x05,0x007982
0x05,0x008132
0x04,0x0087D5
0x03,0x008DB9
0x02,0x00931C
0x01,0x0096F8
0x00,0x009B12
0xFF,0x009E09
0xFE,0x00A02D
0xFD,0x00A2B2
0xFD,0x00A476
0xFC,0x00A6AC
0xFB,0x00A8A6
0xFB,0x00AAE4
0xFB,0x00AD22
0xFB,0x00AFEF
0xFB,0x00B359
0xFB,0x00B654
0xFC,0x00B9FB
0xFC,0x00BDC1
0xFC,0x00C195
0xFD,0x00C58D
0xFE,0x00C8FE
0xFE,0x00CC1D
0xFF,0x00CEB4
0xFF,0x00D05E
0xFF,0x00D112
0x00,0x00D0FE
0x00,0x00CF7B
0x00,0x00CCC2
0xFF,0x00C8AC
0xFF,0x00C3D3
0xFF,0x00BD83
0xFE,0x00B6DE
0xFE,0x00AF20
0xFD,0x00A763
0xFD,0x009FB5
0xFC,0x009872
0xFC,0x0091F9
0xFB,0x008C61
0xFB,0x008896
0xFB,0x0085F7
0xFB,0x008578
0xFB,0x00870A
0xFB,0x008AF0
0xFB,0x0090EA
0xFC,0x0098A6
0xFD,0x00A23B
0xFD,0x00AD7D
0xFE,0x00BA0F
0xFF,0x00C75F
0xFF,0x00D56D
0x00,0x00E34D
0x01,0x00F0BC
0x01,0x00FD7D
0x02,0x010921
0x02,0x0112FB
0x02,0x011B2D
0x02,0x012189
0x02,0x0125FC
0x02,0x0128B2
0x02,0x0128C2
0x02,0x012836
0x02,0x01258B
0x02,0x0121CF
0x02,0x011DE2
0x02,0x011941
0x03,0x0114BC
0x03,0x01103E
0x03,0x010C94
0x03,0x010943
0x04,0x01073F
0x04,0x0105EB
0x04,0x0104FD
0x04,0x01053D
0x04,0x0105FA
0x04,0x0106EE
0x03,0x010818
0x03,0x01088A
0x02,0x0107E5
0x01,0x010717
0x01,0x0103F1
0x00,0x00FF7D
0xFE,0x00F987
0xFD,0x00F0C4
0xFC,0x00E624
0xFB,0x00D99B
0xFA,0x00CAD6
0xF9,0x00BAA6
0xF9,0x00A84D
0xF8,0x0094D4
0xF8,0x0080AC
0xF8,0x006B14
0xF8,0x0055C5
0xF9,0x00401D
0xF9,0x002AD5
0xFA,0x0016C7
0xFB,0x000376
0xFC,0xFFF176
0xFD,0xFFE091
0xFE,0xFFD154
0xFF,0xFFC3E6
0x00,0xFFB7A6
0x01,0xFFAD58
0x02,0xFFA469
0x02,0xFF9CAD
0x03,0xFF9626
0x03,0xFF9081
0x03,0xFF8C0A
0x03,0xFF8850
0x03,0xFF84E5
0x03,0xFF81F8
0x02,0xFF7F29
0x02,0xFF7C9B
0x02,0xFF79FA
0x01,0xFF777D
0x01,0xFF747A
0x01,0xFF7181
0x01,0xFF6E8C
0x00,0xFF6BB8
0x00,0xFF68AB
0x00,0xFF6597
0x00,0xFF628A
0x00,0xFF5FF2
0x00,0xFF5D2B
0x00,0xFF5AE7
0x00,0xFF596B
0x00,0xFF586A
0xFF,0xFF57EE
0xFF,0xFF5876
0xFF,0xFF5977
0xFF,0xFF5B9B
0xFE,0xFF5EA9
0xFE,0xFF627C
0xFE,0xFF66E1
0xFD,0xFF6BE0
0xFD,0xFF7196
0xFD,0xFF776B
0xFC,0xFF7D5B
0xFC,0xFF8369
0xFC,0xFF897A
0xFC,0xFF8F11
0xFC,0xFF9414
0xFC,0xFF985E
0xFC,0xFF9C24
0xFC,0xFF9F39
0xFC,0xFFA0CB
0xFC,0xFFA1E8
0xFC,0xFFA1DA
0xFD,0xFFA0DF
0xFD,0xFF9EF3
0xFD,0xFF9C10
0xFD,0xFF98AB
0xFE,0xFF9464
0xFE,0xFF8F19
0xFE,0xFF89FC
0xFE,0xFF843C
0xFE,0xFF7E16
0xFE,0xFF775F
0xFE,0xFF70D3
0xFE,0xFF69B0
0xFE,0xFF6230
0xFE,0xFF5AD9
0xFE,0xFF532B
0xFE,0xFF4B27
0xFE,0xFF4327
0xFE,0xFF3B4B
0xFE,0xFF3335
0xFD,0xFF2B55
0xFD,0xFF2359
0xFD,0xFF1BDB
0xFD,0xFF1539
0xFC,0xFF0EC6
0xFC,0xFF0971
0xFB,0xFF0597
0xFB,0xFF0333
0xFA,0xFF025E
0xFA,0xFF0305
0xF9,0xFF0626
0xF9,0xFF0A86
0xF9,0xFF114F
0xF8,0xFF1A26
0xF8,0xFF24B4
0xF8,0xFF30F7
0xF8,0xFF3EED
0xF8,0xFF4E46
0xF9,0xFF5E9E
0xF9,0xFF6FB6
0xF9,0xFF8192
0xFA,0xFF935B
0xFB,0xFFA4D3
0xFB,0xFFB68B
0xFC,0xFFC73C
0xFD,0xFFD780
0xFD,0xFFE6BB
0xFE,0xFFF4CF
0xFE,0x000233
0xFF,0x000E95
0xFF,0x0019FD
0xFF,0x0024C3
0xFF,0x002E55
0xFF,0x0038A7
0xFF,0x0041F5
0xFF,0x004B94
0xFF,0x0054A3
0xFF,0x005E07
0xFF,0x0067C1
0xFF,0x007130
0xFE,0x007AD0
0xFE,0x008486
0xFE,0x008E07
0xFF,0x009766
0xFF,0x00A03B
0xFF,0x00A878
0xFF,0x00B054
0x00,0x00B71E
0x00,0x00BCEC
0x01,0x00C1C5
0x01,0x00C514
0x01,0x00C7A3
0x02,0x00C934
0x02,0x00C9B3
0x03,0x00C975
0x03,0x00C904
0x03,0x00C80D
0x04,0x00C739
0x04,0x00C6E4
0x04,0x00C5F7
0x04,0x00C64A
0x04,0x00C749
0x03,0x00C9DB
0x03,0x00CC78
0x03,0x00D0C6
0x02,0x00D599
0x02,0x00DBB5
0x02,0x00E1A7
0x01,0x00E8F8
0x01,0x00EFF1
0x00,0x00F755
0x00,0x00FEA8
0x00,0x010561
0x00,0x010BAD
0x00,0x011143
0x00,0x011688
0x00,0x011A8A
0x00,0x011E38
0x00,0x0120D0
0x01,0x0122DF
0x01,0x012464
0x02,0x0125FA
0x03,0x0126E1
0x03,0x012834
0x04,0x012959
0x05,0x012AAA
0x05,0x012CC8
0x06,0x012EF7
0x06,0x0131E6
0x07,0x01355D
0x07,0x013919
0x07,0x013CD9
0x07,0x01413B
0x07,0x01457F
0x07,0x0149F4
0x07,0x014E3E
0x07,0x01522E
0x06,0x0155E8
0x06,0x015935
0x06,0x015CEB
0x05,0x015FE8
0x05,0x0162E1
0x05,0x016593
0x04,0x01684E
0x04,0x016AF5
0x03,0x016DC2
0x03,0x0170CB
0x02,0x017432
0x02,0x017838
0x01,0x017C58
0x00,0x01811B
0xFF,0x018634
0xFF,0x018AFF
0xFE,0x01902A
0xFD,0x019555
0xFC,0x019A5E
0xFC,0x019EDF
0xFB,0x01A240
0xFB,0x01A553
0xFB,0x01A755
0xFB,0x01A856
0xFB,0x01A7E6
0xFB,0x01A5EC
0xFC,0x01A305
0xFC,0x019E40
0xFD,0x01989F
0xFE,0x0191C2
0xFF,0x018984
0x00,0x0180B9
0x00,0x0176E9
0x01,0x016C38
0x01,0x016125
0x02,0x015579
0x02,0x0149D0
0x02,0x013E5A
0x02,0x013222
0x01,0x012656
0x01,0x011AB8
0x00,0x010E7A
0xFF,0x0102FA
0xFF,0x00F6B8
0xFE,0x00EA38
0xFD,0x00DD51
0xFD,0x00D088
0xFC,0x00C262
0xFC,0x00B454
0xFC,0x00A4E8
0xFC,0x00953C
0xFC,0x008449
0xFD,0x007296
0xFD,0x005F96
0xFE,0x004C4B
0xFE,0x0037EF
0xFF,0x002316
0xFF,0x000D86
0x00,0xFFF786
0x00,0xFFE1AE
0x00,0xFFCBBC
0x00,0xFFB59A
0x00,0xFFA01C
0x00,0xFF8B21
0x00,0xFF7713
0x00,0xFF6416
0xFF,0xFF519B
0xFF,0xFF40E7
0xFF,0xFF30ED
0xFF,0xFF222C
0xFF,0xFF1464
0xFF,0xFF07D3
0x00,0xFEFC3E
0x00,0xFEF0C6
0x01,0xFEE62E
0x02,0xFEDC3E
0x02,0xFED22D
0x03,0xFEC7F5
0x04,0xFEBDE3
0x04,0xFEB2CE
0x04,0xFEA78D
0x05,0xFE9B85
0x05,0xFE8EB0
0x05,0xFE813C
0x04,0xFE72DE
0x04,0xFE63C7
0x03,0xFE53DD
0x03,0xFE43A4
0x02,0xFE32A5
0x01,0xFE2186
0x00,0xFE1001
0xFF,0xFDFEAB
0xFE,0xFDED3E
0xFE,0xFDDC2B
0xFD,0xFDCBA2
0xFD,0xFDBB35
0xFD,0xFDAB76
0xFD,0xFD9CED
0xFE,0xFD8E99
0xFE,0xFD8123
0xFF,0xFD74F3
